id,questions_en,questions_fr,axis,units,agree
1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.","Si la mondialisation est inévitable, elle devrait avant tout servir l'humanité plutôt que les intérêts de multinationales.",x,1.12,-
2,"I'd always support my country, whether it was right or wrong.","Je soutiendrai toujours mon pays, qu'il ait raison ou tort.",y,0.5,+
3,"No one chooses his or her country of birth, so its foolish to be proud of it.","Personne ne choisit son pays de naissance, il est donc stupide d’en être fier.",y,0.5,-
4,"Our race has many superior qualities, compared with other races.",Ma race a de nombreuses qualités que les autres races n’ont pas.,y,0.5,+
5,The enemy of my enemy is my friend.,L'ennemi de mon ennemi est mon ami.,y,0.5,+
6,Military action that defies international law is sometimes justified.,Des interventions militaires allant à l'encontre du droit international sont parfois justifiées.,y,0.5,+
7,There is now a worrying fusion of information and entertainment.,Il y a actuellement un mélange inquiétant entre l'information et le divertissement.,y,0.5,-
8,People are ultimately divided more by class than by nationality.,Les gens sont en définitive plus divisés par classe sociale que par nationalité.,x,1.13,-
9,Controlling inflation is more important than controlling unemployment.,Contrôler l'inflation est plus important que contrôler le chômage.,x,1.13,+
10,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.","Parce qu'on ne peut pas faire confiance aux grandes entreprises pour protéger l'environnement volontairement, il faut leur imposer des règles.",x,1.0,-
11,"'From each according to his ability, to each according to his need' is a fundamentally good idea.","'De chacun selon ses moyens, à chacun selon ses besoins' est foncièrement une bonne idée.",x,1.0,-
12,"Its a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.","C'est un triste reflet de notre société que quelque chose d'aussi fondamental que l'eau potable soit désormais un produit de consommation, embouteillé sous l'étiquette d'une marque.",x,1.25,-
13,Land shouldnt be a commodity to be bought and sold.,Un terrain ne devrait pas être un bien qui s'achète et se vend.,x,1.13,-
14,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,Il est regrettable que de nombreuses fortunes personnelles soient faites par des gens qui manipulent de l'argent sans contribuer en rien à la société.,x,1.12,-
15,Protectionism is sometimes necessary in trade.,Le protectionnisme est parfois nécessaire dans le commerce.,x,1.13,-
