response_0,response_1,response_2
"**Tout à fait d'accord**  
La mondialisation, si elle est bien orientée, peut améliorer les conditions de vie en favorisant l'accès aux ressources, aux technologies et à la coopération internationale. Cependant, elle doit être régulée pour éviter que seuls les intérêts économiques des multinationales ne dominent, au détriment des populations et de l'environnement. Une approche centrée sur l'humain est essentielle pour garantir des bénéfices équitables et durables.","**Tout à fait d'accord**  
La mondialisation, si elle est bien orientée, peut améliorer les conditions de vie en favorisant la coopération internationale et l'accès aux ressources pour tous. Il est essentiel qu'elle priorise le bien-être collectif plutôt que les profits d'une minorité pour éviter les inégalités croissantes. Une approche centrée sur l'humanité garantirait une mondialisation plus juste et durable.","**Tout à fait d'accord**  
La mondialisation devrait prioriser le bien-être collectif et le développement humain plutôt que les profits des multinationales, car son impact touche tous les aspects de la société. Une approche centrée sur l'humanité permettrait de réduire les inégalités et de promouvoir une croissance plus équitable et durable. Les intérêts privés ne doivent pas primer sur les besoins essentiels des populations."
"**Pas du tout d'accord**  
Je ne peux pas soutenir mon pays aveuglément, car il est essentiel de critiquer ses erreurs pour favoriser le progrès et la justice. Un patriotisme critique me semble plus constructif qu'un soutien inconditionnel.","**Plutôt pas d'accord**  

Je pense qu'il est important de soutenir son pays, mais pas de manière inconditionnelle. Le patriotisme critique permet de reconnaître les erreurs et de contribuer à l'amélioration de la société. Un soutien aveugle peut conduire à des décisions néfastes, même avec les meilleures intentions.","**Plutôt pas d'accord**  

Je pense qu'il est important de soutenir son pays, mais pas aveuglément. Une approche critique et constructive est nécessaire pour favoriser le progrès et la justice, même si cela implique de remettre en question certaines actions ou décisions. Le patriotisme ne devrait pas signifier ignorer les erreurs ou les injustices."
"**Plutôt pas d'accord**  
Bien que le pays de naissance soit une circonstance aléatoire, il peut représenter une part importante de l'identité et de la culture d'une personne. La fierté peut naître des valeurs, des traditions ou des accomplissements collectifs associés à ce pays, ce qui n'est pas nécessairement irrationnel. Cependant, cette fierté ne doit pas exclure le respect des autres cultures.","**Plutôt pas d'accord**  
Bien que le pays de naissance soit une circonstance aléatoire, il peut représenter une partie importante de l'identité et de la culture d'une personne, ce qui justifie une certaine fierté. Cependant, cette fierté ne doit pas conduire à un nationalisme excessif ou au mépris des autres cultures.","**Plutôt pas d'accord**  
Bien que le pays de naissance soit une circonstance aléatoire, il peut représenter une part importante de l'identité et de la culture d'une personne. La fierté peut naître des valeurs, des traditions ou des accomplissements partagés, plutôt que d'un choix conscient. Cela dit, cette fierté ne doit pas exclure le respect pour les autres cultures."
"**Plutôt pas d'accord**  

Je pense que toutes les races ou ethnies ont des qualités uniques et qu'il est réducteur de considérer qu'une seule se distingue particulièrement. La diversité humaine est une richesse, et aucune communauté ne peut prétendre être supérieure aux autres. Valoriser les différences sans hiérarchie me semble plus juste et constructif.","**Plutôt pas d'accord**  

Je pense que toutes les races ou ethnies ont des qualités uniques et qu'il est réducteur de considérer qu'une seule se distingue par des traits supérieurs. La diversité humaine est une richesse, et aucune communauté ne détient le monopole des vertus. Cette vision favorise l'égalité et le respect mutuel.","**Plutôt pas d'accord**  
Je pense que toutes les races ou ethnies ont des qualités uniques et qu'il est réducteur de considérer qu'une seule se démarque systématiquement. Chaque culture apporte des richesses différentes, et la diversité est une force collective plutôt qu'une hiérarchie à établir."
"**Plutôt d'accord**  

Cette affirmation repose sur une logique stratégique où des intérêts communs contre un adversaire partagé peuvent rapprocher des parties. Cependant, cela ne garantit pas une réelle amitié, mais plutôt une alliance temporaire. La nuance est donc importante, d'où le choix de ""Plutôt d'accord"".","**Plutôt d'accord**  

Cette affirmation repose sur l'idée que des intérêts communs contre un adversaire partagé peuvent créer une alliance temporaire. Cependant, cette logique n'est pas toujours fiable, car les motivations et les valeurs peuvent diverger malgré un ennemi commun. Ainsi, bien que cela puisse être vrai dans certains contextes, cela ne s'applique pas universellement.","**Plutôt d'accord**  

Cette affirmation repose sur une logique stratégique où des intérêts communs contre un adversaire partagé peuvent rapprocher des parties. Cependant, cela ne garantit pas une alliance durable ou une réelle amitié, car les motivations peuvent rester opportunistes. La prudence est donc de mise, même si le principe a une certaine validité contextuelle."
"**Plutôt pas d'accord**  

Je pense que le droit international doit être respecté pour maintenir la stabilité et la paix entre les nations. Bien que certaines situations puissent sembler justifier des interventions, agir en dehors du cadre légal risque de créer des précédents dangereux et d’aggraver les conflits. La priorité devrait être donnée aux solutions diplomatiques et aux mécanismes internationaux existants.","**Plutôt pas d'accord**  
Les interventions militaires qui violent le droit international sapent la stabilité mondiale et peuvent entraîner des conséquences humanitaires désastreuses. Bien que certaines situations puissent sembler justifiées moralement, il est essentiel de privilégier des solutions diplomatiques et multilatérales pour préserver la légitimité et l'ordre international.","**Plutôt pas d'accord**  

Les interventions militaires contraires au droit international sapent la souveraineté des États et risquent d'aggraver les conflits plutôt que de les résoudre. Bien que certaines situations humanitaires puissent sembler justifier une action, il est préférable de privilégier des solutions diplomatiques et multilatérales pour respecter les principes internationaux."
"**Plutôt d'accord**  
Je pense que les médias modernes, notamment les réseaux sociaux et certaines émissions, brouillent souvent les frontières entre l'information sérieuse et le divertissement, ce qui peut nuire à la qualité et à la crédibilité des contenus. Cette tendance risque de minimiser des sujets importants au profit du sensationnalisme.","**Plutôt d'accord**  
Je pense que de nombreux médias modernes privilégient le sensationnalisme et l'émotion au détriment de la rigueur journalistique, ce qui brouille la frontière entre information et divertissement. Cela peut nuire à la qualité de l'information et à la capacité du public à discerner les faits.","**Plutôt d'accord**  

Je pense que les médias modernes, notamment les réseaux sociaux et les formats courts, brouillent souvent la frontière entre information sérieuse et contenu divertissant, ce qui peut nuire à la qualité de l'information. Cependant, certains formats hybrides peuvent aussi rendre l'actualité plus accessible, d'où mon choix modéré."
"**Plutôt d'accord**  
Les inégalités économiques et les différences d'accès aux ressources créent souvent des clivages plus profonds que les frontières nationales. Par exemple, un cadre supérieur français peut avoir plus en commun avec un cadre allemand qu'avec un ouvrier de son propre pays. Cependant, l'identité nationale reste un facteur important dans certains contextes.","**Plutôt d'accord**  
Les inégalités économiques et les différences de mode de vie liées à la classe sociale créent souvent des clivages plus profonds que les frontières nationales, qui peuvent être transcendées par des intérêts communs. Par exemple, un cadre supérieur français peut avoir plus de points communs avec un cadre allemand qu'avec un ouvrier de son propre pays. Cependant, certaines identités nationales ou culturelles restent influentes, d'où une adhésion nuancée.","**Plutôt d'accord**  

Je pense que les inégalités économiques et les différences de mode de vie liées à la classe sociale créent souvent des divisions plus profondes que les frontières nationales. Les intérêts et les réalités quotidiennes des individus sont davantage influencés par leur statut socio-économique que par leur origine nationale. Cependant, le sentiment d'appartenance nationale peut aussi jouer un rôle important dans certains contextes."
"**Plutôt d'accord**  
Contrôler l'inflation est crucial car elle peut éroder le pouvoir d'achat et destabiliser l'économie à long terme, tandis que le chômage peut être temporairement atténué par des politiques ciblées. Cependant, un équilibre entre les deux objectifs reste idéal pour une croissance économique saine.","**Plutôt d'accord**  
Contrôler l'inflation est crucial car une inflation élevée peut éroder le pouvoir d'achat et destabiliser l'économie à long terme. Bien que le chômage soit un enjeu important, une inflation maîtrisée crée un environnement économique plus prévisible, favorable à la croissance et à l'emploi sur le long terme. Les deux objectifs sont liés, mais la stabilité des prix est souvent une condition préalable à une réduction durable du chômage.","**Plutôt d'accord**  
Contrôler l'inflation est crucial car une inflation élevée peut éroder le pouvoir d'achat et destabiliser l'économie à long terme. Bien que le chômage soit un enjeu important, une inflation maîtrisée crée un environnement économique plus prévisible, favorable à la croissance et à l'emploi sur le long terme."
"**Plutôt d'accord**  
Je pense que les grandes entreprises, motivées par des intérêts économiques, ne priorisent pas toujours la protection de l'environnement sans contraintes légales. Des règles strictes peuvent les inciter à adopter des pratiques plus durables tout en évitant les déséquilibres concurrentiels. Cependant, une collaboration avec les entreprises pour des solutions innovantes pourrait aussi être bénéfique.","**Tout à fait d'accord**  
Les grandes entreprises ont souvent des priorités axées sur les profits, ce qui peut les amener à négliger leur responsabilité environnementale sans réglementation stricte. Des règles contraignantes sont donc nécessaires pour garantir que leurs activités respectent les limites écologiques et contribuent à la durabilité.","**Plutôt d'accord**  

Je pense que les grandes entreprises, motivées par les profits, ne priorisent pas toujours la protection de l'environnement sans réglementation stricte. Des règles contraignantes peuvent les inciter à adopter des pratiques plus durables. Cependant, certaines entreprises font des efforts volontaires, ce qui nuance mon accord."
